Date,AWK,BNDX,GLD,JNJ,KO,MCD,MO,MSFT,NRG,NVDA,O,PFE,PG,SCHD,SPLV,SPY,T,TIP,URTH,USMV,VIG,VNQ,VYM,VZ,WMT,XLP,XLV,XOM
2014-12-24,44.04829406738281,40.32206726074219,112.7699966430664,78.73410034179688,31.015329360961914,72.34317016601562,26.094736099243164,41.254764556884766,21.89527702331543,0.49365857243537903,29.925804138183594,19.771867752075195,69.88790130615234,11.4913969039917,30.940956115722656,174.03533935546875,12.059367179870605,86.54097747802734,60.26927185058594,33.83013916015625,67.10598754882812,54.3007926940918,50.598793029785156,28.330148696899414,23.52153205871582,37.64238357543945,58.083892822265625,60.11924743652344
2014-12-26,44.26133728027344,40.3677864074707,114.83000183105469,79.08790588378906,31.02978515625,73.07559967041016,26.219091415405273,41.03195571899414,22.021562576293945,0.4941387474536896,29.859188079833984,19.916593551635742,70.12802124023438,11.50844955444336,31.029422760009766,174.59652709960938,12.133941650390625,86.57201385498047,60.34371566772461,33.89616394042969,67.21216583251953,54.493499755859375,50.751224517822266,28.443073272705078,23.65215301513672,37.703365325927734,58.4985466003418,59.75382995605469
2014-12-29,45.76895523071289,40.4134521484375,113.66999816894531,79.2911605834961,30.957550048828125,73.27606964111328,26.027376174926758,40.663448333740234,22.226778030395508,0.4934186339378357,30.01664924621582,19.75298500061035,69.51275634765625,11.48571491241455,31.14203453063965,174.83108520507812,12.112631797790527,86.70393371582031,60.17003631591797,33.92918395996094,67.2040023803711,54.79254913330078,50.77298355102539,28.258840560913086,23.578683853149414,37.589027404785156,58.70164108276367,59.66408920288086
2014-12-30,44.47435760498047,40.459144592285156,115.19999694824219,79.31375885009766,30.885318756103516,72.6669921875,25.820110321044922,40.29494094848633,21.863698959350586,0.4888589382171631,29.726722717285156,19.7466983795166,69.3326416015625,11.434568405151367,30.908796310424805,173.89292907714844,12.101983070373535,86.68063354492188,59.81439208984375,33.78887939453125,66.94261932373047,54.75269317626953,50.497161865234375,28.128101348876953,23.619504928588867,37.421321868896484,58.44775390625,59.632015228271484
2014-12-31,43.67140579223633,40.436309814453125,113.58000183105469,78.71904754638672,30.495296478271484,72.24291229248047,25.52994155883789,39.806461334228516,21.2717227935791,0.48117923736572266,28.997377395629883,19.601959228515625,68.34969329833984,11.323744773864746,30.530773162841797,172.1673583984375,11.927978515625,86.91340637207031,59.26852035522461,33.40922164916992,66.2892074584961,53.82892990112305,49.901981353759766,27.801233291625977,23.37185287475586,36.96393966674805,57.863868713378906,59.26663589477539
2015-01-02,44.19578170776367,40.619014739990234,114.08000183105469,78.68141174316406,30.4375,71.90367126464844,25.374492645263672,40.07212829589844,21.705841064453125,0.4830990731716156,29.550466537475586,19.71523094177246,67.86197662353516,11.312379837036133,30.56294059753418,172.0751953125,12.027408599853516,87.47210693359375,59.26026153564453,33.43399429321289,66.17486572265625,54.639705657958984,49.8874626159668,27.908203125,23.37729263305664,36.85722351074219,58.07542037963867,59.51023864746094
2015-01-05,43.5157356262207,40.60380172729492,115.80000305175781,78.13188171386719,30.4375,71.10955810546875,25.229398727416992,39.703636169433594,20.877073287963867,0.4749394655227661,30.158248901367188,19.608247756958008,67.53929901123047,11.153251647949219,30.241212844848633,168.96763610839844,11.913774490356445,87.54193115234375,57.870750427246094,33.1203498840332,65.11306762695312,54.93876647949219,48.98741149902344,27.676429748535156,23.309255599975586,36.59804153442383,57.77925109863281,57.881927490234375
2015-01-06,43.63042068481445,40.69514465332031,117.12000274658203,77.74796295166016,30.66863250732422,71.24063110351562,25.37966537475586,39.12089538574219,20.60871124267578,0.4605400860309601,30.553293228149414,19.771867752075195,67.23164367675781,11.085053443908691,30.136674880981445,167.37608337402344,11.93153190612793,87.54967498779297,57.1015625,33.02956771850586,64.54130554199219,55.48368453979492,48.66804504394531,27.955753326416016,23.488874435424805,36.55230712890625,57.58464813232422,57.57419967651367
2015-01-07,44.18758773803711,40.664703369140625,116.43000030517578,79.46429443359375,31.05145835876465,72.48193359375,25.84601593017578,39.617942810058594,20.703426361083984,0.45934009552001953,31.051694869995117,20.042449951171875,67.58432006835938,11.215764999389648,30.538789749145508,169.4618377685547,12.001100540161133,87.6195297241211,57.6805305480957,33.45049285888672,65.38257598876953,56.334293365478516,49.21967315673828,27.775341033935547,24.11208152770996,37.177391052246094,58.938575744628906,58.15757751464844
2015-01-08,44.359649658203125,40.64947509765625,115.94000244140625,80.0891342163086,31.427034378051758,72.75179290771484,26.281274795532227,40.78342056274414,21.161218643188477,0.47661933302879333,30.231199264526367,20.451478958129883,68.35718536376953,11.423203468322754,30.949005126953125,172.4689178466797,12.120498657226562,87.47984313964844,58.962501525878906,33.94568634033203,66.51792907714844,56.5469856262207,50.14151382446289,28.370670318603516,24.621002197265625,37.741493225097656,59.94554901123047,59.1256217956543
2015-01-09,44.490753173828125,40.626651763916016,117.26000213623047,78.99759674072266,31.080345153808594,71.86514282226562,26.219091415405273,40.44062423706055,21.42169189453125,0.47853922843933105,30.589786529541016,20.545875549316406,67.71941375732422,11.33510971069336,30.675518035888672,171.08677673339844,12.084315299987793,87.74371337890625,58.40009307861328,33.747615814208984,65.96250915527344,56.57357406616211,49.75681686401367,28.118114471435547,24.316194534301758,37.43657302856445,59.412445068359375,59.04225158691406
2015-01-12,44.35145950317383,40.718013763427734,118.55999755859375,78.72661590576172,30.798646926879883,71.71092987060547,26.384902954101562,39.93502426147461,21.066503524780273,0.4725395441055298,31.015228271484375,20.62138557434082,67.4717788696289,11.272598266601562,30.595111846923828,169.74659729003906,12.116877555847168,87.72042083740234,58.29256820678711,33.59904098510742,65.48877716064453,57.00551223754883,49.430171966552734,28.31052589416504,24.49853515625,37.322227478027344,59.437828063964844,57.90754699707031
2015-01-13,44.44978332519531,40.75605010986328,118.16000366210938,78.86209106445312,30.79141616821289,71.5721664428711,26.59217643737793,39.72933578491211,21.21647071838379,0.47181951999664307,31.07602310180664,20.413724899291992,67.75690460205078,11.247021675109863,30.570974349975586,169.26914978027344,12.116877555847168,87.5807113647461,57.879032135009766,33.56602478027344,65.33358764648438,56.91912078857422,49.335819244384766,28.370670318603516,24.305309295654297,37.314605712890625,59.17549133300781,57.696022033691406
2015-01-14,45.23634719848633,40.85504150390625,117.97000122070312,78.28995513916016,30.740861892700195,70.57756805419922,26.804622650146484,39.38655471801758,21.287504196166992,0.4737394154071808,31.422447204589844,20.43889617919922,67.52429962158203,11.193032264709473,30.570974349975586,168.24725341796875,12.058989524841309,88.10062408447266,57.8459587097168,33.45049285888672,64.92520141601562,57.41089630126953,49.11079788208008,28.244384765625,23.570524215698242,37.200260162353516,59.08244323730469,57.529327392578125
2015-01-15,45.269126892089844,40.664703369140625,120.94000244140625,77.15324401855469,30.610843658447266,70.45418548583984,27.188064575195312,38.97520446777344,20.971784591674805,0.47037968039512634,31.73240852355957,20.3885498046875,67.42675018310547,11.150409698486328,30.566957473754883,166.7060089111328,12.033661842346191,88.7989501953125,57.448951721191406,33.40096664428711,64.64749908447266,57.543819427490234,48.76239776611328,28.32255744934082,23.780073165893555,37.26123809814453,58.44775390625,57.029293060302734
2015-01-16,45.646034240722656,40.90071487426758,122.5199966430664,78.32007598876953,30.719200134277344,70.53899383544922,27.488595962524414,39.62650680541992,20.75867462158203,0.4790191948413849,32.07884979248047,20.64026641845703,68.46975708007812,11.30101203918457,30.873205184936523,168.89218139648438,12.229037284851074,88.30235290527344,58.2181282043457,33.76410675048828,65.35808563232422,58.04221725463867,49.292259216308594,28.85774040222168,23.614063262939453,37.558536529541016,59.547821044921875,58.41400909423828
2015-01-20,45.99835968017578,40.8855094909668,124.19999694824219,76.24991607666016,31.174230575561523,70.00700378417969,27.892763137817383,39.75505447387695,19.48000717163086,0.4804593324661255,32.05455017089844,20.829051971435547,68.42473602294922,11.312379837036133,30.86513328552246,169.2523956298828,12.283310890197754,88.51183319091797,58.51587677001953,33.8218879699707,65.35808563232422,57.583675384521484,49.45195388793945,28.97199058532715,23.592288970947266,37.710994720458984,59.547821044921875,58.394775390625
2015-01-21,46.34249496459961,40.94638442993164,124.2300033569336,76.70909118652344,31.31869888305664,69.65235900878906,28.120759963989258,39.35227966308594,20.103551864624023,0.48717883229255676,32.06061553955078,20.539583206176758,68.56378936767578,11.360684394836426,30.95376968383789,170.1068115234375,12.301395416259766,88.14716339111328,58.40836715698242,33.87964630126953,65.5949478149414,57.543819427490234,49.64792251586914,29.01407814025879,23.578683853149414,37.89394760131836,59.666297912597656,58.894813537597656
2015-01-22,46.31789016723633,40.89310836791992,125.2300033569336,78.10929107666016,31.622055053710938,70.0763931274414,28.32283592224121,40.38922119140625,19.803619384765625,0.4955785274505615,32.328025817871094,20.64655876159668,69.23633575439453,11.494239807128906,31.348642349243164,172.6364288330078,12.225417137145996,88.17044830322266,59.13619613647461,34.37484359741211,66.52605438232422,58.567195892333984,50.308448791503906,28.74349021911621,24.03044319152832,38.27510070800781,60.37712097167969,59.535865783691406
2015-01-23,46.34249496459961,41.13676834106445,124.2300033569336,76.9349136352539,31.282588958740234,69.05097198486328,28.07929801940918,40.43205642700195,19.764150619506836,0.49701839685440063,32.54075241088867,20.420019149780273,68.07256317138672,11.349318504333496,31.123003005981445,171.68991088867188,12.073455810546875,88.70588684082031,58.7557373046875,34.193275451660156,66.11770629882812,58.401084899902344,49.89472198486328,28.352630615234375,24.087596893310547,37.84821319580078,60.030189514160156,58.26655197143555
2015-01-26,46.588294982910156,41.083473205566406,122.98999786376953,76.9801254272461,31.058679580688477,69.90676879882812,28.20884132385254,40.286376953125,20.158803939819336,0.49485862255096436,33.25794219970703,20.64026641845703,67.69471740722656,11.360684394836426,31.18747901916504,172.0919647216797,12.004716873168945,88.55842590332031,59.49183654785156,34.26756286621094,66.3055419921875,58.892852783203125,50.01085662841797,28.23836898803711,24.120254516601562,37.84821319580078,60.3432731628418,58.824275970458984
2015-01-27,46.53912353515625,41.045387268066406,124.4000015258789,76.85210418701172,30.61808204650879,69.0586929321289,28.27102279663086,36.55854034423828,20.000940322875977,0.4710996448993683,33.45852279663086,20.51441192626953,65.3596420288086,11.187350273132324,31.050493240356445,169.822021484375,11.87084674835205,88.83778381347656,59.31813430786133,34.019954681396484,65.64398956298828,58.91277313232422,49.226932525634766,27.87156105041504,23.820894241333008,37.41370391845703,59.91170120239258,58.30501937866211
2015-01-28,46.43260955810547,41.13676834106445,123.41999816894531,76.39292907714844,30.27859878540039,68.44961547851562,27.986024856567383,35.29878234863281,19.42475128173828,0.4634198546409607,33.48889923095703,20.10538101196289,64.34703826904297,11.04242992401123,30.679780960083008,167.64414978027344,11.82381534576416,89.17918395996094,58.4910774230957,33.632057189941406,64.75369262695312,58.52069091796875,48.73336410522461,27.6911678314209,23.62767219543457,36.979190826416016,59.048587799072266,56.3818359375
2015-01-29,46.997955322265625,41.098690032958984,120.76000213623047,77.0704574584961,30.408605575561523,71.91138458251953,28.182937622070312,36.00150680541992,19.39696502685547,0.4746995270252228,33.62855911254883,20.029874801635742,64.739990234375,11.150409698486328,30.92153549194336,169.19374084472656,11.92512035369873,89.07830047607422,58.350467681884766,33.80537033081055,65.11306762695312,58.72671890258789,49.270484924316406,27.727245330810547,23.872596740722656,37.27648162841797,59.547821044921875,56.144649505615234
2015-01-30,45.99835968017578,41.15958023071289,123.44999694824219,75.38420104980469,29.736873626708984,71.2714614868164,27.51450538635254,34.621768951416016,19.579580307006836,0.4607800245285034,33.12236022949219,19.664884567260742,63.69711685180664,10.971388816833496,30.3574161529541,167.0662078857422,11.91064739227295,89.72233581542969,57.78805160522461,33.24415588378906,64.0512466430664,57.517234802246094,48.46480178833008,27.486703872680664,23.12692642211914,36.60567092895508,58.61699676513672,56.04206466674805
2015-02-02,46.46537780761719,41.22208023071289,122.41999816894531,75.90362548828125,30.040237426757812,71.3254165649414,27.877222061157227,35.37591552734375,20.024206161499023,0.47085970640182495,32.65275955200195,19.916593551635742,64.3243179321289,11.124835014343262,30.712007522583008,169.1351776123047,12.142203330993652,89.66028594970703,58.805362701416016,33.53301239013672,64.91700744628906,57.36436462402344,49.12531661987305,28.250398635864258,23.32558822631836,37.0401725769043,58.947025299072266,57.4267463684082
2015-02-03,46.31789016723633,41.13065719604492,121.05000305175781,77.13067626953125,30.069129943847656,72.41255950927734,28.115568161010742,35.650150299072266,20.67527198791504,0.48261913657188416,32.50639343261719,20.149431228637695,64.95157623291016,11.298171043395996,31.010183334350586,171.58106994628906,12.424410820007324,89.24903106689453,59.293338775634766,33.9044189453125,65.96250915527344,57.862815856933594,49.77857971191406,28.76152801513672,23.45621681213379,37.36796951293945,59.34474563598633,59.13842010498047
2015-02-04,45.58866882324219,41.09251022338867,121.58000183105469,76.3026123046875,30.105243682861328,72.51277923583984,27.99639892578125,35.85581970214844,20.67527198791504,0.48381897807121277,32.21363830566406,20.35892677307129,64.83064270019531,11.269756317138672,30.92153549194336,170.9276885986328,12.44973373413086,89.43522644042969,58.904598236083984,33.8218879699707,65.65211486816406,57.62355041503906,49.54631042480469,28.74349021911621,23.581403732299805,37.383201599121094,58.60007095336914,58.63196563720703
2015-02-05,46.43734359741211,41.01628112792969,121.79000091552734,77.13067626953125,30.184696197509766,72.7363510131836,27.80985450744629,36.37857437133789,20.913469314575195,0.4917386770248413,32.536888122558594,20.94295883178711,65.51832580566406,11.380576133728027,31.243892669677734,172.65318298339844,12.496774673461914,89.04728698730469,59.558006286621094,34.15202331542969,66.3300552368164,58.314693450927734,50.06166458129883,28.77956771850586,23.75285530090332,37.573787689208984,59.59013748168945,59.20893859863281
2015-02-06,45.17671203613281,40.8942985534668,118.63999938964844,76.10684967041016,29.939117431640625,72.46649169921875,27.633684158325195,36.34429931640625,20.07184600830078,0.48957884311676025,31.0060977935791,21.05722999572754,64.69464111328125,11.36637020111084,30.808717727661133,172.17576599121094,12.616171836853027,88.34889221191406,59.40084457397461,33.85490036010742,66.14219665527344,56.62008285522461,49.865684509277344,29.66351318359375,23.766460418701172,37.40608215332031,59.048587799072266,59.09912109375
2015-02-09,44.44340133666992,40.87141418457031,119.16999816894531,75.11318969726562,29.780223846435547,71.48735046386719,27.545595169067383,36.30143356323242,20.667339324951172,0.48909875750541687,31.201269149780273,20.99374771118164,64.2714614868164,11.312379837036133,30.639467239379883,171.4051513671875,12.532951354980469,88.1937255859375,58.97077178955078,33.67332458496094,65.79914093017578,56.22135543823242,49.684226989746094,29.51920509338379,23.38001251220703,37.12403106689453,58.35467529296875,59.13787078857422
2015-02-10,44.740028381347656,40.77232360839844,118.47000122070312,75.54229736328125,30.625303268432617,72.4896240234375,27.861675262451172,36.50712966918945,21.080204010009766,0.5027783513069153,31.280555725097656,21.679365158081055,64.52840423583984,11.428884506225586,30.929597854614258,173.2311248779297,12.608930587768555,87.89887237548828,59.54145431518555,34.02820587158203,66.48526000976562,56.40077590942383,50.19956970214844,29.771753311157227,23.755573272705078,37.558536529541016,59.336273193359375,58.78264617919922
